Session ID,User Number,Trial,Month,Chart Type,Question Type,User Answer,Correct School,Correct Absences,User Absences,Response Time,Correct,Generated Data
20241111_154147,1,1,April,heatmap,lowest,5,School [5],12,12,11.33,Correct,"[[191, 126, 58, 89, 224, 174, 117, 0, 222, 12, 186, 111], [221, 164, 46, 28, 162, 188, 95, 0, 39, 154, 62, 26], [52, 122, 156, 75, 4, 13, 6, 0, 124, 225, 100, 97], [74, 68, 183, 102, 19, 39, 25, 0, 95, 54, 1, 69], [49, 62, 176, 12, 215, 87, 54, 0, 123, 107, 172, 12], [20, 213, 39, 62, 181, 138, 73, 0, 142, 106, 148, 75], [57, 25, 191, 213, 132, 91, 99, 0, 218, 61, 195, 3], [17, 137, 191, 234, 150, 37, 24, 0, 202, 113, 134, 72], [133, 148, 118, 102, 41, 115, 100, 0, 64, 28, 154, 59], [42, 134, 101, 38, 125, 203, 81, 0, 3, 104, 193, 46]]"
20241111_154147,1,2,July,heatmap,lowest,3,School [3],15,15,12.69,Correct,"[[99, 154, 102, 118, 130, 210, 102, 0, 145, 213, 79, 30], [68, 187, 2, 140, 144, 22, 115, 0, 163, 181, 56, 96], [189, 183, 215, 147, 61, 39, 15, 0, 30, 214, 213, 30], [231, 49, 204, 70, 10, 66, 61, 0, 105, 227, 41, 51], [207, 166, 8, 224, 207, 73, 108, 0, 202, 41, 218, 87], [204, 16, 11, 20, 34, 217, 56, 0, 195, 144, 12, 83], [235, 76, 158, 35, 177, 86, 48, 0, 207, 176, 220, 58], [57, 231, 107, 217, 87, 115, 102, 0, 34, 11, 196, 95], [43, 126, 42, 83, 134, 131, 33, 0, 48, 80, 197, 94], [23, 110, 97, 209, 177, 33, 101, 0, 174, 178, 84, 96]]"
20241111_154147,1,3,January,heatmap,lowest,5,School [5],5,5,8.71,Correct,"[[161, 108, 78, 186, 121, 161, 108, 0, 83, 208, 143, 67], [99, 73, 103, 150, 192, 183, 63, 0, 234, 12, 104, 76], [120, 229, 156, 36, 177, 136, 11, 0, 4, 170, 11, 38], [132, 138, 115, 9, 159, 174, 33, 0, 189, 142, 175, 84], [5, 186, 137, 24, 141, 47, 89, 0, 128, 43, 156, 37], [126, 7, 203, 188, 23, 121, 116, 0, 96, 207, 72, 75], [154, 171, 120, 56, 11, 31, 13, 0, 53, 93, 88, 36], [46, 31, 40, 199, 13, 100, 24, 0, 119, 136, 227, 106], [100, 224, 41, 185, 177, 59, 85, 0, 55, 103, 58, 115], [60, 187, 92, 209, 189, 166, 22, 0, 196, 174, 81, 14]]"
20241111_154147,1,4,September,heatmap,highest,2,School [2],233,233,12.15,Correct,"[[212, 222, 161, 226, 63, 166, 15, 0, 206, 130, 33, 5], [117, 108, 98, 178, 185, 159, 21, 0, 233, 143, 82, 104], [4, 119, 38, 175, 2, 91, 35, 0, 49, 226, 114, 37], [125, 5, 161, 228, 138, 151, 73, 0, 86, 131, 184, 57], [222, 177, 201, 162, 126, 59, 23, 0, 54, 91, 63, 92], [133, 216, 159, 58, 16, 175, 101, 0, 33, 83, 216, 55], [193, 114, 99, 139, 11, 179, 50, 0, 179, 108, 158, 100], [65, 154, 39, 106, 195, 163, 42, 0, 43, 149, 50, 11], [91, 179, 24, 194, 46, 208, 26, 0, 39, 123, 158, 89], [54, 207, 31, 175, 116, 179, 39, 0, 105, 233, 155, 77]]"
20241111_154147,1,5,December,heatmap,lowest,1,School [5],8,14,6.99,Wrong,"[[215, 124, 67, 86, 126, 34, 75, 0, 92, 82, 16, 14], [159, 192, 175, 184, 116, 165, 101, 0, 232, 88, 182, 15], [170, 54, 115, 116, 111, 232, 72, 0, 156, 235, 37, 60], [5, 56, 43, 190, 215, 12, 48, 0, 233, 72, 8, 109], [21, 98, 82, 137, 164, 49, 77, 0, 139, 143, 162, 8], [82, 184, 93, 77, 47, 224, 57, 0, 63, 173, 41, 101], [200, 60, 13, 212, 228, 85, 14, 0, 204, 72, 146, 44], [84, 210, 166, 150, 37, 206, 87, 0, 57, 213, 146, 109], [56, 22, 162, 229, 32, 158, 75, 0, 181, 154, 221, 41], [181, 14, 67, 89, 69, 182, 108, 0, 58, 80, 65, 70]]"
20241111_154147,1,6,September,heatmap,highest,2,School [2],227,227,4.51,Correct,"[[50, 5, 158, 203, 50, 203, 97, 0, 139, 101, 174, 31], [205, 214, 23, 163, 92, 45, 62, 0, 227, 191, 104, 11], [65, 66, 84, 19, 21, 24, 46, 0, 155, 85, 141, 103], [71, 26, 56, 76, 218, 114, 8, 0, 37, 27, 172, 91], [26, 212, 93, 132, 188, 54, 11, 0, 87, 136, 99, 62], [112, 76, 175, 226, 223, 193, 104, 0, 121, 45, 227, 44], [147, 181, 8, 68, 164, 4, 61, 0, 37, 209, 131, 52], [47, 62, 15, 171, 62, 176, 75, 0, 36, 135, 34, 113], [109, 235, 110, 137, 193, 16, 3, 0, 79, 51, 187, 56], [222, 232, 132, 51, 115, 90, 13, 0, 121, 51, 18, 48]]"
20241111_154147,1,7,April,heatmap,highest,10,School [10],198,198,4.98,Correct,"[[4, 151, 230, 104, 156, 166, 7, 0, 126, 93, 50, 64], [2, 12, 114, 193, 78, 105, 75, 0, 39, 119, 75, 14], [226, 121, 83, 183, 176, 16, 19, 0, 73, 139, 153, 54], [150, 120, 75, 179, 97, 104, 8, 0, 198, 41, 173, 112], [28, 136, 202, 45, 88, 232, 49, 0, 67, 96, 214, 65], [173, 193, 136, 185, 56, 153, 40, 0, 64, 123, 156, 62], [125, 14, 225, 179, 116, 143, 39, 0, 47, 216, 223, 34], [17, 26, 166, 77, 107, 225, 63, 0, 63, 144, 229, 92], [119, 6, 99, 76, 132, 113, 8, 0, 145, 65, 164, 114], [94, 97, 149, 198, 93, 94, 15, 0, 90, 22, 89, 85]]"
20241111_154147,1,8,July,heatmap,lowest,1,School [1],7,7,5.17,Correct,"[[142, 229, 204, 15, 12, 119, 7, 0, 218, 201, 59, 49], [86, 124, 95, 21, 72, 107, 45, 0, 30, 197, 47, 95], [37, 178, 179, 122, 104, 100, 99, 0, 53, 29, 104, 16], [111, 141, 195, 10, 227, 150, 41, 0, 12, 208, 186, 44], [185, 167, 177, 161, 63, 7, 55, 0, 24, 195, 102, 82], [201, 156, 146, 94, 23, 224, 56, 0, 89, 105, 100, 13], [179, 37, 166, 130, 195, 143, 61, 0, 127, 160, 156, 62], [56, 33, 178, 84, 118, 179, 71, 0, 143, 211, 153, 87], [197, 75, 19, 226, 180, 234, 46, 0, 125, 54, 120, 16], [157, 66, 77, 217, 58, 85, 54, 0, 103, 146, 206, 30]]"
20241111_154147,1,9,August,heatmap,highest,1,"School [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0,0,11.9,Correct,"[[151, 197, 37, 202, 183, 41, 38, 0, 113, 107, 186, 53], [149, 31, 90, 120, 27, 42, 83, 0, 100, 9, 132, 57], [147, 196, 155, 75, 110, 124, 12, 0, 69, 22, 94, 100], [216, 147, 65, 31, 134, 140, 57, 0, 157, 85, 204, 10], [179, 41, 165, 96, 62, 98, 68, 0, 103, 135, 18, 103], [12, 176, 35, 22, 53, 134, 103, 0, 86, 144, 129, 36], [100, 199, 113, 207, 169, 193, 39, 0, 156, 184, 124, 0], [88, 220, 26, 216, 19, 9, 92, 0, 221, 143, 223, 90], [16, 212, 197, 93, 228, 124, 0, 0, 2, 185, 28, 8], [122, 97, 200, 216, 145, 124, 29, 0, 220, 143, 61, 18]]"
20241111_154147,1,10,October,heatmap,highest,5,School [5],235,235,8.64,Correct,"[[217, 68, 71, 11, 102, 197, 17, 0, 68, 207, 98, 2], [83, 162, 192, 221, 198, 34, 100, 0, 38, 56, 132, 3], [108, 56, 74, 131, 202, 45, 54, 0, 131, 151, 11, 31], [177, 118, 195, 147, 113, 200, 76, 0, 48, 21, 90, 16], [184, 206, 84, 103, 50, 191, 2, 0, 97, 235, 40, 40], [106, 121, 236, 181, 185, 160, 3, 0, 191, 37, 106, 57], [137, 199, 100, 134, 126, 31, 73, 0, 52, 169, 152, 5], [8, 174, 178, 20, 119, 14, 80, 0, 216, 198, 227, 37], [126, 161, 48, 159, 92, 40, 60, 0, 39, 213, 144, 11], [150, 40, 27, 187, 191, 133, 117, 0, 127, 165, 141, 56]]"
20241111_170722,2,1,December,scatter,lowest,2,School [2],4,4,16.43,Correct,"[[47, 30, 166, 76, 205, 52, 56, 0, 59, 54, 135, 31], [32, 19, 162, 233, 52, 151, 10, 0, 212, 42, 24, 4], [176, 177, 114, 205, 200, 14, 49, 0, 141, 188, 173, 107], [25, 161, 162, 186, 233, 84, 18, 0, 192, 88, 156, 39], [201, 191, 210, 197, 50, 201, 109, 0, 227, 114, 166, 7], [227, 35, 185, 60, 32, 98, 80, 0, 214, 56, 75, 36], [196, 27, 54, 13, 94, 76, 1, 0, 133, 38, 176, 5], [133, 95, 227, 101, 3, 115, 89, 0, 172, 75, 23, 92], [212, 136, 10, 203, 22, 155, 89, 0, 106, 183, 101, 84], [204, 213, 213, 102, 163, 221, 50, 0, 38, 141, 147, 91]]"
20241111_170722,2,2,February,scatter,highest,1,School [1],214,214,14.78,Correct,"[[166, 214, 86, 147, 170, 1, 49, 0, 37, 97, 152, 104], [149, 115, 159, 197, 6, 53, 21, 0, 36, 97, 141, 110], [82, 62, 193, 125, 20, 193, 29, 0, 45, 19, 209, 47], [86, 1, 146, 51, 171, 78, 118, 0, 71, 191, 75, 14], [109, 21, 159, 47, 55, 8, 89, 0, 126, 2, 134, 62], [152, 6, 27, 234, 215, 203, 39, 0, 160, 22, 178, 32], [147, 59, 113, 12, 106, 143, 87, 0, 149, 131, 210, 20], [183, 170, 177, 29, 61, 116, 79, 0, 194, 9, 111, 36], [196, 148, 134, 66, 8, 234, 97, 0, 114, 46, 207, 18], [201, 42, 124, 114, 94, 178, 60, 0, 92, 21, 32, 99]]"
20241111_170722,2,3,April,scatter,lowest,3,"School [3, 6]",42,42,14.1,Correct,"[[180, 128, 186, 142, 220, 46, 83, 0, 236, 226, 18, 23], [117, 19, 120, 227, 34, 124, 74, 0, 186, 32, 154, 42], [147, 123, 185, 42, 116, 226, 89, 0, 72, 6, 45, 84], [165, 68, 145, 227, 101, 5, 4, 0, 172, 58, 22, 108], [140, 146, 172, 104, 181, 28, 79, 0, 39, 91, 201, 98], [10, 139, 216, 42, 28, 30, 93, 0, 145, 135, 198, 70], [5, 132, 159, 120, 37, 49, 52, 0, 221, 2, 75, 23], [40, 81, 111, 117, 112, 4, 75, 0, 109, 66, 223, 15], [173, 13, 32, 88, 48, 33, 118, 0, 140, 161, 90, 39], [59, 149, 181, 125, 142, 71, 58, 0, 124, 190, 58, 47]]"
20241111_170722,2,4,April,scatter,highest,5,School [5],220,220,9.55,Correct,"[[34, 50, 91, 145, 57, 37, 3, 0, 178, 197, 106, 104], [89, 172, 83, 36, 98, 54, 71, 0, 104, 117, 207, 46], [160, 199, 118, 179, 28, 28, 100, 0, 161, 169, 19, 78], [96, 152, 56, 29, 157, 14, 52, 0, 236, 106, 188, 77], [103, 14, 19, 220, 218, 229, 117, 0, 110, 207, 143, 67], [81, 133, 202, 214, 101, 30, 30, 0, 194, 181, 183, 4], [155, 184, 236, 111, 125, 56, 36, 0, 197, 65, 180, 114], [221, 148, 1, 142, 62, 69, 81, 0, 193, 4, 94, 113], [84, 114, 234, 129, 143, 18, 112, 0, 233, 210, 59, 30], [51, 42, 60, 19, 147, 107, 0, 0, 102, 170, 227, 14]]"
20241111_170722,2,5,August,scatter,highest,9,"School [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0,0,16.92,Correct,"[[134, 149, 108, 192, 50, 229, 83, 0, 176, 73, 163, 34], [157, 20, 37, 199, 80, 70, 74, 0, 225, 22, 162, 3], [32, 96, 153, 195, 139, 216, 92, 0, 154, 110, 166, 58], [224, 74, 45, 218, 119, 138, 21, 0, 135, 104, 80, 49], [114, 11, 218, 81, 4, 45, 84, 0, 213, 77, 24, 11], [114, 102, 160, 178, 109, 37, 64, 0, 183, 22, 183, 93], [223, 29, 144, 53, 85, 184, 60, 0, 58, 92, 39, 37], [26, 19, 213, 82, 92, 75, 44, 0, 21, 234, 204, 68], [202, 12, 150, 156, 9, 182, 35, 0, 95, 175, 111, 3], [67, 176, 80, 116, 178, 210, 93, 0, 125, 87, 25, 115]]"
20241111_170722,2,6,June,scatter,lowest,9,School [9],12,12,15.29,Correct,"[[46, 16, 177, 18, 177, 84, 35, 0, 117, 233, 47, 0], [189, 119, 23, 52, 50, 85, 102, 0, 158, 123, 135, 51], [132, 92, 10, 109, 225, 232, 31, 0, 197, 179, 33, 54], [53, 168, 13, 197, 39, 71, 107, 0, 131, 94, 205, 70], [186, 123, 229, 199, 5, 212, 83, 0, 214, 145, 75, 64], [194, 167, 88, 130, 123, 99, 19, 0, 182, 193, 2, 24], [168, 227, 20, 126, 35, 22, 105, 0, 72, 59, 2, 89], [219, 7, 110, 205, 8, 22, 8, 0, 72, 163, 170, 118], [231, 199, 209, 112, 167, 12, 40, 0, 233, 207, 196, 33], [46, 201, 117, 49, 55, 120, 26, 0, 213, 229, 153, 86]]"
20241111_170722,2,7,June,scatter,highest,5,School [5],224,224,10.36,Correct,"[[15, 23, 132, 81, 47, 167, 113, 0, 101, 190, 115, 48], [153, 55, 210, 167, 89, 213, 71, 0, 198, 65, 126, 109], [98, 95, 64, 30, 111, 25, 0, 0, 82, 59, 59, 113], [87, 230, 169, 129, 97, 109, 18, 0, 95, 136, 181, 17], [197, 89, 199, 171, 162, 224, 37, 0, 31, 202, 204, 6], [91, 5, 221, 175, 102, 97, 65, 0, 206, 198, 104, 85], [65, 155, 120, 206, 158, 32, 78, 0, 128, 96, 180, 25], [139, 64, 156, 8, 174, 207, 71, 0, 130, 158, 189, 93], [158, 180, 47, 10, 144, 7, 65, 0, 153, 134, 198, 41], [65, 49, 14, 31, 215, 67, 79, 0, 93, 126, 138, 95]]"
20241111_170722,2,8,January,scatter,highest,8,School [8],220,220,9.0,Correct,"[[211, 163, 80, 19, 28, 4, 90, 0, 136, 234, 103, 73], [3, 77, 186, 233, 213, 101, 63, 0, 230, 38, 134, 37], [195, 97, 151, 85, 230, 151, 100, 0, 26, 131, 55, 24], [115, 115, 121, 87, 65, 217, 23, 0, 186, 166, 174, 66], [111, 157, 29, 196, 41, 228, 62, 0, 60, 59, 19, 4], [198, 202, 182, 38, 120, 114, 16, 0, 166, 14, 15, 46], [48, 191, 144, 163, 178, 202, 27, 0, 129, 85, 176, 21], [220, 27, 17, 235, 38, 58, 95, 0, 163, 51, 143, 28], [4, 164, 142, 2, 229, 121, 84, 0, 203, 153, 93, 56], [20, 93, 94, 131, 131, 108, 41, 0, 140, 18, 18, 81]]"
20241111_170722,2,9,August,scatter,highest,9,"School [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0,0,9.17,Correct,"[[119, 25, 5, 218, 57, 218, 39, 0, 89, 122, 26, 46], [208, 227, 235, 99, 104, 70, 72, 0, 7, 154, 143, 68], [228, 103, 29, 186, 145, 97, 86, 0, 47, 174, 164, 104], [178, 5, 195, 147, 27, 136, 53, 0, 217, 218, 189, 5], [108, 19, 21, 32, 85, 216, 9, 0, 137, 0, 100, 49], [216, 216, 131, 142, 54, 180, 65, 0, 196, 90, 126, 113], [112, 30, 182, 3, 188, 58, 52, 0, 116, 40, 98, 77], [52, 182, 17, 20, 150, 145, 90, 0, 114, 189, 159, 95], [165, 144, 203, 46, 65, 198, 105, 0, 145, 130, 204, 54], [2, 138, 146, 48, 11, 155, 30, 0, 32, 146, 39, 64]]"
20241111_170722,2,10,April,scatter,highest,7,School [7],205,205,13.96,Correct,"[[167, 188, 186, 46, 32, 164, 98, 0, 50, 82, 200, 52], [201, 141, 106, 169, 63, 21, 10, 0, 236, 53, 120, 45], [7, 115, 203, 161, 25, 83, 19, 0, 226, 176, 31, 83], [171, 85, 122, 44, 109, 22, 38, 0, 94, 55, 183, 50], [11, 209, 210, 97, 191, 72, 91, 0, 170, 61, 24, 52], [218, 160, 100, 79, 100, 139, 59, 0, 159, 48, 119, 40], [120, 113, 88, 205, 191, 135, 95, 0, 67, 38, 166, 98], [138, 56, 219, 148, 141, 74, 82, 0, 177, 11, 37, 76], [58, 61, 133, 139, 169, 22, 57, 0, 171, 7, 169, 103], [70, 153, 93, 180, 183, 29, 15, 0, 192, 145, 194, 109]]"
20241111_170722,2,1,June,heatmap,highest,3,School [3],221,221,33.76,Correct,"[[114, 52, 35, 206, 53, 34, 24, 0, 9, 54, 37, 88], [149, 56, 139, 83, 50, 168, 86, 0, 81, 23, 144, 66], [2, 154, 109, 104, 42, 221, 101, 0, 143, 96, 144, 4], [17, 178, 107, 63, 226, 38, 84, 0, 146, 154, 230, 100], [72, 171, 164, 193, 63, 56, 32, 0, 27, 184, 136, 4], [203, 60, 166, 87, 48, 16, 8, 0, 116, 184, 218, 109], [141, 117, 35, 29, 132, 147, 29, 0, 15, 178, 183, 110], [55, 214, 44, 58, 142, 48, 8, 0, 100, 218, 184, 16], [72, 150, 39, 87, 69, 35, 25, 0, 32, 231, 67, 7], [220, 83, 190, 37, 202, 127, 85, 0, 138, 235, 128, 88]]"
20241111_170722,2,2,January,heatmap,lowest,1,School [1],17,17,5.01,Correct,"[[17, 129, 149, 161, 59, 28, 83, 0, 3, 57, 127, 67], [153, 75, 157, 225, 105, 118, 75, 0, 136, 193, 119, 19], [110, 18, 172, 45, 87, 96, 107, 0, 140, 38, 177, 65], [114, 157, 60, 201, 154, 73, 74, 0, 119, 192, 208, 49], [189, 67, 10, 189, 167, 6, 8, 0, 192, 134, 135, 90], [129, 115, 84, 11, 105, 78, 72, 0, 164, 132, 125, 15], [63, 191, 53, 210, 2, 84, 57, 0, 92, 72, 36, 63], [42, 120, 134, 104, 226, 63, 102, 0, 14, 109, 132, 71], [153, 105, 59, 162, 153, 120, 94, 0, 165, 55, 117, 76], [169, 46, 196, 192, 163, 87, 78, 0, 58, 39, 24, 106]]"
20241111_170722,2,3,July,heatmap,highest,5,School [5],106,106,14.65,Correct,"[[217, 119, 219, 42, 164, 42, 18, 0, 162, 46, 74, 53], [174, 207, 56, 2, 97, 65, 76, 0, 70, 116, 55, 67], [39, 201, 136, 223, 230, 158, 87, 0, 153, 187, 214, 92], [193, 108, 74, 199, 57, 219, 96, 0, 162, 44, 52, 88], [22, 19, 183, 92, 233, 230, 106, 0, 74, 28, 39, 29], [211, 34, 139, 194, 3, 213, 69, 0, 19, 186, 52, 54], [177, 233, 89, 100, 64, 18, 32, 0, 200, 189, 134, 20], [129, 169, 75, 162, 66, 31, 87, 0, 10, 182, 1, 62], [155, 123, 161, 216, 17, 210, 63, 0, 63, 208, 99, 75], [166, 218, 211, 118, 195, 164, 31, 0, 80, 30, 124, 56]]"
20241111_170722,2,4,September,heatmap,highest,10,School [10],211,211,8.21,Correct,"[[91, 52, 163, 3, 157, 8, 37, 0, 159, 220, 72, 28], [139, 174, 162, 149, 34, 150, 29, 0, 136, 92, 117, 43], [27, 236, 37, 69, 220, 17, 90, 0, 93, 37, 81, 3], [31, 121, 7, 226, 109, 140, 82, 0, 113, 236, 6, 91], [14, 181, 10, 172, 168, 181, 47, 0, 151, 64, 149, 80], [70, 31, 63, 32, 151, 55, 57, 0, 60, 51, 138, 92], [208, 218, 164, 153, 19, 47, 47, 0, 128, 227, 202, 98], [87, 175, 200, 17, 147, 45, 7, 0, 112, 60, 39, 95], [114, 25, 171, 106, 155, 86, 2, 0, 95, 21, 79, 89], [16, 18, 124, 128, 193, 85, 48, 0, 211, 156, 138, 56]]"
